Country: Central African Republic  Rank: 155  Score: 2.693  GDP: 0
Country: Croatia  Rank: 77  Score: 5.293  GDP: 1.22256

Country: Jamaica  Rank: 76  Score: 5.311  GDP: 0.925579

Country: Hungary  Rank: 75  Score: 5.324  GDP: 1.28601

Country: Jordan  Rank: 74  Score: 5.336  GDP: 0.991012

Country: Serbia  Rank: 73  Score: 5.395  GDP: 1.06932

Country: Philippines  Rank: 72  Score: 5.43  GDP: 0.857699

Country: Hong Kong  Rank: 71  Score: 5.472  GDP: 1.55167

Country: Paraguay  Rank: 70  Score: 5.493  GDP: 0.932537

Country: Turkey  Rank: 69  Score: 5.5  GDP: 1.19827

Country: Libya  Rank: 68  Score: 5.525  GDP: 1.1018

Country: Belarus  Rank: 67  Score: 5.569  GDP: 1.15656

Country: Estonia  Rank: 66  Score: 5.611  GDP: 1.32088

Country: Cyprus  Rank: 65  Score: 5.621  GDP: 1.35594

Country: Mauritius  Rank: 64  Score: 5.629  GDP: 1.1894

Country: Peru  Rank: 63  Score: 5.715  GDP: 1.03523

Country: Slovenia  Rank: 62  Score: 5.758  GDP: 1.34121

Country: North Cyprus  Rank: 61  Score: 5.81  GDP: 1.34691

Country: Kazakhstan  Rank: 60  Score: 5.819  GDP: 1.28456

Country: Turkmenistan  Rank: 59  Score: 5.822  GDP: 1.13078

Country: Bolivia  Rank: 58  Score: 5.823  GDP: 0.833757

Country: Romania  Rank: 57  Score: 5.825  GDP: 1.21768

Country: Moldova  Rank: 56  Score: 5.838  GDP: 0.728871

Country: South Korea  Rank: 55  Score: 5.838  GDP: 1.40168

Country: Latvia  Rank: 54  Score: 5.85  GDP: 1.26075

Country: Algeria  Rank: 53  Score: 5.872  GDP: 1.09186

Country: Lithuania  Rank: 52  Score: 5.902  GDP: 1.31458

Country: Japan  Rank: 51  Score: 5.92  GDP: 1.41692

Country: Belize  Rank: 50  Score: 5.956  GDP: 0.907975

Country: Russia  Rank: 49  Score: 5.963  GDP: 1.28178

Country: Italy  Rank: 48  Score: 5.964  GDP: 1.39507

Country: Uzbekistan  Rank: 47  Score: 5.971  GDP: 0.786441

Country: Poland  Rank: 46  Score: 5.973  GDP: 1.29179

Country: El Salvador  Rank: 45  Score: 6.003  GDP: 0.909784

Country: Ecuador  Rank: 44  Score: 6.008  GDP: 1.00082

Country: Nicaragua  Rank: 43  Score: 6.071  GDP: 0.737299

Country: Malaysia  Rank: 42  Score: 6.084  GDP: 1.29122

Country: Bahrain  Rank: 41  Score: 6.087  GDP: 1.48841

Country: Slovakia  Rank: 40  Score: 6.098  GDP: 1.32539

Country: Kuwait  Rank: 39  Score: 6.105  GDP: 1.63295

Country: Trinidad and Tobago  Rank: 38  Score: 6.168  GDP: 1.36136

Country: Saudi Arabia  Rank: 37  Score: 6.344  GDP: 1.53062

Country: Colombia  Rank: 36  Score: 6.357  GDP: 1.07062

Country: Qatar  Rank: 35  Score: 6.375  GDP: 1.87077

Country: Spain  Rank: 34  Score: 6.403  GDP: 1.3844

Country: Taiwan Province of China  Rank: 33  Score: 6.422  GDP: 1.43363

Country: Thailand  Rank: 32  Score: 6.424  GDP: 1.12787

Country: France  Rank: 31  Score: 6.442  GDP: 1.43092

Country: Panama  Rank: 30  Score: 6.452  GDP: 1.23375

Country: Guatemala  Rank: 29  Score: 6.454  GDP: 0.872002

Country: Uruguay  Rank: 28  Score: 6.454  GDP: 1.21756

Country: Malta  Rank: 27  Score: 6.527  GDP: 1.34328

Country: Singapore  Rank: 26  Score: 6.572  GDP: 1.69228

Country: Mexico  Rank: 25  Score: 6.578  GDP: 1.15318

Country: Argentina  Rank: 24  Score: 6.599  GDP: 1.1853

Country: Czech Republic  Rank: 23  Score: 6.609  GDP: 1.35268

Country: Brazil  Rank: 22  Score: 6.635  GDP: 1.10735

Country: United Arab Emirates  Rank: 21  Score: 6.648  GDP: 1.62634

Country: Chile  Rank: 20  Score: 6.652  GDP: 1.25278

Country: United Kingdom  Rank: 19  Score: 6.714  GDP: 1.44163

Country: Luxembourg  Rank: 18  Score: 6.863  GDP: 1.74194

Country: Belgium  Rank: 17  Score: 6.891  GDP: 1.46378

Country: Germany  Rank: 16  Score: 6.951  GDP: 1.48792

Country: Ireland  Rank: 15  Score: 6.977  GDP: 1.53571

Country: United States  Rank: 14  Score: 6.993  GDP: 1.54626

Country: Austria  Rank: 13  Score: 7.006  GDP: 1.4871

Country: Costa Rica  Rank: 12  Score: 7.079  GDP: 1.10971

Country: Israel  Rank: 11  Score: 7.213  GDP: 1.37538

Country: Australia  Rank: 10  Score: 7.284  GDP: 1.48441

Country: Sweden  Rank: 9  Score: 7.284  GDP: 1.49439

Country: New Zealand  Rank: 8  Score: 7.314  GDP: 1.40571

Country: Canada  Rank: 7  Score: 7.316  GDP: 1.4792

Country: Netherlands  Rank: 6  Score: 7.377  GDP: 1.50394

Country: Finland  Rank: 5  Score: 7.469  GDP: 1.44357

Country: Switzerland  Rank: 4  Score: 7.494  GDP: 1.56498

Country: Iceland  Rank: 3  Score: 7.504  GDP: 1.48063

Country: Denmark  Rank: 2  Score: 7.522  GDP: 1.48238

Country: ﻿Norway  Rank: 1  Score: 7.537  GDP: 1.61646

